@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute inputs-11 numeric
@attribute inputs-12 numeric
@attribute inputs-13 numeric
@attribute inputs-14 numeric
@attribute inputs-15 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric
@attribute outputs-4 numeric
@attribute outputs-5 numeric
@attribute outputs-6 numeric
@attribute outputs-7 numeric
@attribute outputs-8 numeric
@attribute outputs-9 numeric
@attribute outputs-10 numeric
@attribute outputs-11 numeric
@attribute outputs-12 numeric
@attribute outputs-13 numeric
@attribute outputs-14 numeric
@attribute outputs-15 numeric

@data
68,'2019/01/20 14:36:03:918',2,299.97522,123.944275,80.731163,258.907349,144.909027,102.197174,209.361786,152.653503,105.962112,168.164444,165.816589,104.969078,106.113495,180.057159,99.773315,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
69,'2019/01/20 14:36:03:969',2,299.382721,123.776031,80.709534,259.028198,144.542419,102.190216,209.373642,152.411987,105.984825,168.324417,165.444672,104.996841,106.851044,179.869141,99.837372,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
70,'2019/01/20 14:36:04:021',2,298.897034,124.007141,80.55748,258.796753,143.314575,102.119766,209.008118,151.130493,105.94223,167.462128,163.683167,104.948502,107.806671,179.496674,99.911667,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
71,'2019/01/20 14:36:04:071',2,296.999878,123.76123,80.491211,259.756744,142.771667,102.15387,209.757416,150.460571,106.051041,168.035263,162.790283,105.111923,109.591858,179.666779,100.262497,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
72,'2019/01/20 14:36:04:121',2,293.414703,122.622284,80.47467,260.56073,141.88739,102.234245,210.200424,149.9133,106.229233,169.572418,162.539001,105.368309,112.528259,180.853973,100.717865,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
73,'2019/01/20 14:36:04:173',2,289.973999,122.455475,80.29451,260.570496,138.594482,102.302391,209.8564,146.502625,106.46904,170.067184,159.408508,105.774323,114.402069,179.230957,101.42981,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
74,'2019/01/20 14:36:04:225',2,289.039032,122.387207,80.262535,260.144226,137.801147,102.337158,208.894104,145.780457,106.547516,169.154694,158.646759,105.876419,114.821655,178.677887,101.585556,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
75,'2019/01/20 14:36:04:275',2,287.824768,121.950531,80.209839,258.957031,136.496765,102.399277,207.563232,144.652435,106.639313,166.96257,157.867249,106.019951,115.510742,177.96402,101.758362,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
76,'2019/01/20 14:36:04:327',2,287.327332,121.779785,80.189835,257.474792,136.012299,102.457886,206.459732,144.749847,106.74884,166.069214,157.708954,106.097595,115.729675,177.560486,101.818039,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
77,'2019/01/20 14:36:04:378',2,286.989258,121.663757,80.175606,255.961838,135.76944,102.526505,205.481171,144.705078,106.814445,164.732117,157.632782,106.154755,115.844299,177.193848,101.852829,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
78,'2019/01/20 14:36:04:427',2,287.70108,121.933167,80.369583,253.760132,134.829132,102.770279,203.536163,143.972534,107.033783,162.46727,156.812164,106.326218,115.001312,176.392059,101.988144,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
79,'2019/01/20 14:36:04:478',2,294.818237,124.248474,81.224968,250.630173,133.31604,103.472351,199.051575,141.665741,107.513199,157.680389,154.499237,106.680466,111.163696,173.846222,102.14679,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
80,'2019/01/20 14:36:04:531',2,295.918945,124.623413,81.364655,250.048096,133.04541,103.572586,198.653915,141.399689,107.598099,156.956192,154.138947,106.730972,110.392395,173.413391,102.153336,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
81,'2019/01/20 14:36:04:585',2,296.279236,124.750488,81.414261,249.769073,132.920624,103.601776,198.468475,141.256744,107.619125,156.704834,154.007111,106.746338,109.977661,173.2547,102.146835,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
82,'2019/01/20 14:36:04:637',2,296.449921,124.812561,81.439621,249.668671,132.857697,103.615318,198.380569,141.216736,107.634331,156.537933,153.945374,106.753838,109.658722,173.18399,102.139313,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
83,'2019/01/20 14:36:04:691',2,296.590881,124.86554,81.462296,249.548401,132.788116,103.624649,198.382431,141.241455,107.656052,156.362396,153.890167,106.759483,109.355499,173.122284,102.131287,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
84,'2019/01/20 14:36:04:751',2,290.197327,120.020538,82.903793,242.084274,126.838135,104.877869,191.967056,136.430115,108.91787,150.084305,150.097107,107.977371,105.337921,171.723938,103.440933,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
85,'2019/01/20 14:36:04:803',2,288.970612,119.557434,83.029297,243.965256,125.74588,104.871063,192.581802,135.494934,109.015411,150.323181,148.83786,108.049988,105.029175,171.57489,103.665939,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
86,'2019/01/20 14:36:04:854',2,286.11322,118.588226,83.15036,245.081299,124.902679,104.941345,193.350571,134.871918,109.170921,150.985199,148.113831,108.204666,105.672699,172.232391,104.018204,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
87,'2019/01/20 14:36:04:907',2,283.369171,118.045746,83.262802,245.762421,124.422455,105.008705,193.723267,134.599396,109.321136,151.3694,147.903412,108.38002,105.970032,172.985443,104.334991,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
88,'2019/01/20 14:36:04:959',2,280.917053,117.744446,83.414658,247.202469,123.965729,105.005096,194.302185,134.142426,109.387733,151.867157,147.317932,108.444031,106.281067,173.633209,104.583786,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
89,'2019/01/20 14:36:05:010',2,287.420624,181.048218,71.836723,271.942871,163.102509,94.722534,214.045319,165.188599,100.383644,175.753265,174.466827,102.141678,93.326782,190.339264,99.994057,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
90,'2019/01/20 14:36:05:061',2,293.772156,183.039276,70.430374,267.677124,164.588043,94.221649,213.022614,166.415222,99.535255,174.159286,172.952026,101.281311,94.848114,191.078735,99.196823,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
91,'2019/01/20 14:36:05:111',2,294.330139,180.66983,70.248779,265.409973,165.60434,93.910606,210.318268,165.067596,99.736031,173.999237,172.452057,100.87146,99.585449,190.399078,98.870682,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
92,'2019/01/20 14:36:05:162',2,294.519012,180.509644,70.17131,262.165894,164.92627,93.957504,209.792953,165.235046,99.750198,174.646454,173.593475,100.703796,104.85083,189.466675,98.678696,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
93,'2019/01/20 14:36:05:212',2,296.113403,181.800934,69.860374,259.768372,163.476227,93.715912,209.764969,165.237732,99.487167,175.237915,174.895721,100.380753,109.339539,189.049072,98.31414,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
94,'2019/01/20 14:36:05:267',2,295.360474,183.296539,69.138672,258.555115,162.642303,93.42305,210.539978,164.825287,99.223793,175.580185,175.782928,100.18219,110.846985,186.968262,98.032486,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
95,'2019/01/20 14:36:05:317',2,290.06369,187.913208,69.202103,261.349792,166.262695,93.82608,214.749969,166.524597,99.738159,177.754623,177.185791,100.683289,104.459869,176.766083,98.354683,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
96,'2019/01/20 14:36:31:490',3,364.035889,448.084076,46.228539,391.18924,448.780792,63.08617,428.096161,457.383545,67.137512,469.625824,462.096893,67.021126,512.103333,464.733032,63.808632,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
97,'2019/01/20 14:36:31:539',3,363.751251,448.174072,46.212166,391.256714,448.84787,63.063095,428.20578,457.274353,67.108742,469.676025,462.043793,66.960114,512.482788,464.431,63.767551,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
98,'2019/01/20 14:36:31:593',3,363.73175,448.240265,46.199844,391.277344,448.922882,63.049061,428.144684,457.126556,67.1064,469.660034,462.06485,66.933968,512.717224,464.280121,63.762615,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
99,'2019/01/20 14:36:31:644',3,363.811768,448.46225,46.168388,391.254883,449.115234,63.028675,428.086121,457.122681,67.09848,469.648132,462.214172,66.90435,512.793884,464.33667,63.73814,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
100,'2019/01/20 14:36:31:695',3,363.825226,449.059143,46.10511,391.486267,449.564636,62.98159,428.50235,457.34552,67.039551,470.254791,462.41803,66.810768,513.576477,464.205688,63.644505,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
